"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
benefitbundleccmaxgroup,bundleCrossControlAccumID,bnftBndlCCMxGrp_bnftBndlCrssCntrlccm1,benefitbundlecrosscontrolaccum,bundleCrossControlAccumID
benefitbundleccmaxplan,benefitBundleCCMaxGroupID,bnftBndlCCMxPln_bnftBndlCCMxGrp1,benefitbundleccmaxgroup,benefitBundleCCMaxGroupID
benefitbundleccmaxplan,benefitBundleID,bnftBndlCCMxPln_bnftBndlCCMxGrp1,benefitbundleccmaxgroup,benefitBundleID
benefitbundleccmaxplan,benefitBundleOptionID,bnftBndlCCMxPln_bnftBndlPln1,benefitbundleplan,benefitBundleOptionID
benefitbundleccmaxplan,benefitBundlePlanID,bnftBndlCCMxPln_bnftBndlPln1,benefitbundleplan,benefitBundlePlanID
benefitbundleccmaxplan,bundleCrossControlAccumID,bnftBndlCCMxPln_bnftBndlCCMxGrp1,benefitbundleccmaxgroup,bundleCrossControlAccumID
benefitbundleccoopgroup,benefitBundleID,bnftBndlCCPGrp_bnftBndlCrssCntrlccm1,benefitbundlecrosscontrolaccum,benefitBundleID
benefitbundleccoopgroup,bundleCrossControlAccumID,bnftBndlCCPGrp_bnftBndlCrssCntrlccm1,benefitbundlecrosscontrolaccum,bundleCrossControlAccumID
benefitbundleccoopplan,benefitBundleCCOOPGroupID,bnftBndlCCPPln_bnftBndlCCPGrp1,benefitbundleccoopgroup,benefitBundleCCOOPGroupID
benefitbundleccoopplan,benefitBundleID,bnftBndlCCPPln_bnftBndlCCPGrp1,benefitbundleccoopgroup,benefitBundleID
benefitbundleccoopplan,benefitBundleOptionID,bnftBndlCCPPln_bnftBndlPln1,benefitbundleplan,benefitBundleOptionID
benefitbundleccoopplan,benefitBundlePlanID,bnftBndlCCPPln_bnftBndlPln1,benefitbundleplan,benefitBundlePlanID
benefitbundleccoopplan,bundleCrossControlAccumID,bnftBndlCCPPln_bnftBndlCCPGrp1,benefitbundleccoopgroup,bundleCrossControlAccumID
