"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
continuationevent,memberID,cntntnvnt_sbsffltn1,subsaffiliation,memberID
continuationevent,subsAffiliationID,cntntnvnt_sbsffltn1,subsaffiliation,subsAffiliationID
continuationeventmember,continuationEventID,cntntnvntMmbr_cntntnvnt1,continuationevent,continuationEventID
continuationeventmember,subsAffiliationID,cntntnvntMmbr_cntntnvnt1,continuationevent,subsAffiliationID
dupclaimedit,claimEditID,dpClmdt_clmdt1,claimedit,claimEditID
dupclaimedit,claimID,dpClmdt_clmdt1,claimedit,claimID
encounterfilereqdetail,encounterFileReqHeaderID,ncntrFlRqDtl_ncntrFlRqHdr1,encounterfilereqheader,encounterFileReqHeaderID
entityreserveextidentifier,entityReserveID,nttyRsrvxtdntfr_nttyRsrv1,entityreserve,entityReserveID
entityreservemanualrequestdtl,entityReserveManualRequestID,nttyRsrvMnlRqstDtl_nttyRsrvMnlRqst1,entityreservemanualrequest,entityReserveManualRequestID
entityreservenote,entityReserveID,nttyRsrvNt_nttyRsrv1,entityreserve,entityReserveID
entityreserveopertxtype,entityReserveID,nttyRsrvprTxTyp_nttyRsrv1,entityreserve,entityReserveID
entityreserveopertxtype,entityReserveSettingsID,nttyRsrvprTxTyp_nttyRsrvSttngs1,entityreservesettings,entityReserveSettingsID
entityreserveperiod,entityReserveID,nttyRsrvPrd_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodhistory,entityReserveID,nttyRsrvPrdHstry_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodhistory,entityReservePeriodID,nttyRsrvPrdHstry_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
entityreserveperiodrecon,entityReserveID,nttyRsrvPrdRcn_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodrecon,entityReservePeriodID,nttyRsrvPrdRcn_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
entityreserveperiodrecondetail,entityReserveID,nttyRsrvPrdRcnDtl_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodrecondetail,entityReservePeriodID,nttyRsrvPrdRcnDtl_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
entityreserveperiodrecondetail,entityReservePeriodReconID,nttyRsrvPrdRcnDtl_nttyRsrvPrdRcn1,entityreserveperiodrecon,entityReservePeriodReconID
entityreserveperiodrecontx,entityReserveID,nttyRsrvPrdRcnTx_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodrecontx,entityReservePeriodID,nttyRsrvPrdRcnTx_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
entityreserveperiodrecontx,entityReservePeriodReconID,nttyRsrvPrdRcnTx_nttyRsrvPrdRcn1,entityreserveperiodrecon,entityReservePeriodReconID
entityreserveperiodtx,entityReserveID,nttyRsrvPrdTx_nttyRsrv1,entityreserve,entityReserveID
entityreserveperiodtx,entityReservePeriodID,nttyRsrvPrdTx_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
entityreservereqeventsequence,entityReserveRequestHeaderID,nttyRsrvRqvntSqnc_nttyRsrvRqstHdr1,entityreserverequestheader,entityReserveRequestHeaderID
entityreserverequest,entityReserveRequestHeaderID,nttyRsrvRqst_nttyRsrvRqstHdr1,entityreserverequestheader,entityReserveRequestHeaderID
entityreserverequestaggsl,entityReserveRequestID,nttyRsrvRqstggSl_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreserverequestdetail,entityReserveRequestHeaderID,nttyRsrvRqstDtl_nttyRsrvRqstHdr1,entityreserverequestheader,entityReserveRequestHeaderID
entityreserverequestdetail,entityReserveRequestID,nttyRsrvRqstDtl_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreserverequestindivsl,entityReserveRequestID,nttyRsrvRqstndvSl_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreserverequestmanualdtl,entityReserveRequestManualID,nttyRsrvRqstMnlDtl_nttyRsrvRqstMnl1,entityreserverequestmanual,entityReserveRequestManualID
entityreserverespperiod,entityReserveRequestID,nttyRsrvRspPrd_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreserverespstoplossagg,entityReserveRequestID,nttyRsrvRspStplssgg_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreserverespstoplossindiv,entityReserveRequestID,nttyRsrvRspStplssndv_nttyRsrvRqst1,entityreserverequest,entityReserveRequestID
entityreservesettings,entityReserveID,nttyRsrvSttngs_nttyRsrv1,entityreserve,entityReserveID
entityreservesettingsdetaillf,entityReserveID,nttyRsrvSttngsDtlLf_nttyRsrv1,entityreserve,entityReserveID
entityreservesettingsdetaillf,entityReserveSettingsID,nttyRsrvSttngsDtlLf_nttyRsrvSttngs1,entityreservesettings,entityReserveSettingsID
finattribsetattribute,finAttribSetID,fnttrbStttrbt_fnttrbSt1,finattribset,finAttribSetID
finattribsetconfig,finAttribSetID,fnttrbStCnfg_fnttrbSt1,finattribset,finAttribSetID
finattribsettag,finAttribSetID,fnttrbStTg_fnttrbSt1,finattribset,finAttribSetID
finprotectplanbenamt,memberBenefitID,fnPrtctPlnBnmt_mmbrBnft1,memberbenefit,memberBenefitID
fulfillmentdocumentimage,fulfillmentRequestID,flfllmntDcmntmg_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentmemberidcardhist,fulfillmentRequestID,flfllmntMmbrDCrdHst_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentrelatedrequest,fulfillmentRequestID,flfllmntRltdRqst_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentreqidentifierdetail,fulfillmentRequestID,flfllmntRqdntfrDtl_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentreqidentifierdetail,fulfillmentRequestIdentifierID,flfllmntRqdntfrDtl_flfllmntRqstdntfr1,fulfillmentrequestidentifier,fulfillmentRequestIdentifierID
fulfillmentrequestdelivery,fulfillmentRequestID,flfllmntRqstDlvry_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentrequestptattributes,fulfillmentRequestID,flfllmntRqstPTttrbts_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentrequesttemplate,fulfillmentRequestID,flfllmntRqstTmplt_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
fulfillmentreqvariablecontent,fulfillmentRequestID,flfllmntRqVrblCntnt_flfllmntRqst1,fulfillmentrequest,fulfillmentRequestID
investigationdeviceexempt,claimID,nvstgtnDvcxmpt_clmHdr1,claimheader,claimID
ledgerentryeventsequence,ledgerEntryTransactionID,ldgrntryvntSqnc_ldgrntryTrnsctn1,ledgerentrytransaction,ledgerEntryTransactionID
ledgerentryeventsequencetrans,ledgerEntryEventSequenceID,ldgrntryvntSqncTrns_ldgrntryvntSqnc1,ledgerentryeventsequence,ledgerEntryEventSequenceID
ledgerentryeventsequencetrans,ledgerEntryTransactionID,ldgrntryvntSqncTrns_ldgrntryTrnsctn1,ledgerentrytransaction,ledgerEntryTransactionID
memacctcustomerpurchasedetail,memAcctRunID,mmcctCstmrPrchsDtl_mmcctRn1,memacctrun,memAcctRunID
memacctcustomerpurchaseitem,memAcctCustomerPurchaseDetailID,mmcctCstmrPrchstm_mmcctCstmrPrchsDtl1,memacctcustomerpurchasedetail,memAcctCustomerPurchaseDetailID
memacctcustomerpurchaseitem,memAcctRunID,mmcctCstmrPrchstm_mmcctRn1,memacctrun,memAcctRunID
memacctcustpurchasedtlv3track,memAcctCustomerPurchaseDetailID,mmcctCstPrchsDtlV3Trck_mmcctCstmrPrchsDtl1,memacctcustomerpurchasedetail,memAcctCustomerPurchaseDetailID
memacctmembership,memAcctCustomerPurchaseDetailID,mmcctMmbrshp_mmcctCstmrPrchstm1,memacctcustomerpurchaseitem,memAcctCustomerPurchaseDetailID
memacctmembership,memAcctCustomerPurchaseItemID,mmcctMmbrshp_mmcctCstmrPrchstm1,memacctcustomerpurchaseitem,memAcctCustomerPurchaseItemID
memacctmembership,memAcctRunID,mmcctMmbrshp_mmcctRn1,memacctrun,memAcctRunID
memacctrunv3tracking,memAcctRunID,mmcctRnV3Trckng_mmcctRn1,memacctrun,memAcctRunID
membenefitrefreshmonitordetail,fppMemberBenefitRefreshMonitorID,mmBnftRfrshMntrDtl_fppMmbrBnftRfrshMntr1,fppmemberbenefitrefreshmonitor,fppMemberBenefitRefreshMonitorID
memberbenefit,subsAffiliationID,mmbrBnft_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefit834hist,memberBenefitID,mmbrBnft834Hst_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefit834hist,subsAffiliationID,mmbrBnft834Hst_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefitbillgroupdtlinv,memberBenefitID,mmbrBnftBllGrpDtlnv_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitbillgroupdtlinv,memberID,mmbrBnftBllGrpDtlnv_mmbrBnft1,memberbenefit,memberID
memberbenefitbillgroupdtlinv,subsAffiliationID,mmbrBnftBllGrpDtlnv_mmbrBnft1,memberbenefit,subsAffiliationID
memberbenefitcovlevelcode,memberBenefitID,mmbrBnftCvLvlCd_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitcovlevelcode,memberID,mmbrBnftCvLvlCd_mmbrBnft1,memberbenefit,memberID
memberbenefitcovlevelcode,subsAffiliationID,mmbrBnftCvLvlCd_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefitenrollevent,memberBenefitID,mmbrBnftnrllvnt_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitexternalid,memberBenefitID,mmbrBnftxtrnlD_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitexternalid,memberID,mmbrBnftxtrnlD_sbsffltn1,subsaffiliation,memberID
memberbenefitexternalid,subsAffiliationID,mmbrBnftxtrnlD_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefithx,memberBenefitID,mmbrBnftHx_mmbrBnft1,memberbenefit,memberBenefitID
