"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
memgrouppopextidentifier,memGroupPopulationID,mmGrpPpxtdntfr_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgrouppopgroupassign,memGroupPopulationID,mmGrpPpGrpssgn_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgrouppopidentifiervalue,memGroupID,mmGrpPpdntfrVl_mmGrpPpltn1,memgrouppopulation,memGroupID
memgrouppopidentifiervalue,memGroupPopTypeID,mmGrpPpdntfrVl_mmGrpPpltn1,memgrouppopulation,memGroupPopTypeID
memgrouppopidentifiervalue,memGroupPopulationID,mmGrpPpdntfrVl_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgrouppopinsuringrule,memGroupID,mmGrpPpnsrngRl_mmGrpPpltn1,memgrouppopulation,memGroupID
memgrouppopinsuringrule,memGroupPopulationID,mmGrpPpnsrngRl_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgrouppoptype,memGroupID,mmGrpPpTyp_mmGrp1,memgroup,memGroupID
memgrouppoptypeattribute,memGroupID,mmGrpPpTypttrbt_mmGrp1,memgroup,memGroupID
memgrouppoptypeattribute,memGroupPopTypeID,mmGrpPpTypttrbt_mmGrpPpTyp1,memgrouppoptype,memGroupPopTypeID
memgrouppopulation,memGroupID,mmGrpPpltn_mmGrp1,memgroup,memGroupID
memgrouppopulationconfig,memGroupID,mmGrpPpltnCnfg_mmGrp1,memgroup,memGroupID
memgrouppopulationorder,memGroupID,mmGrpPpltnrdr_mmGrpPpltnCnfg1,memgrouppopulationconfig,memGroupID
memgrouppopulationorder,memGroupPopulationConfigID,mmGrpPpltnrdr_mmGrpPpltnCnfg1,memgrouppopulationconfig,memGroupPopulationConfigID
memgrouppopulationorder,memGroupPopulationID,mmGrpPpltnrdr_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgrouppremiumdetail,memGroupPremiumID,mmGrpPrmmDtl_mmGrpPrmm1,memgrouppremium,memGroupPremiumID
memgrouppremiumdetail,memGroupPremiumOptionID,mmGrpPrmmDtl_mmGrpPrmmptn1,memgrouppremiumoption,memGroupPremiumOptionID
memgrouppremiumdetail,memGroupPremiumPeriodID,mmGrpPrmmDtl_mmGrpPrmmPrd1,memgrouppremiumperiod,memGroupPremiumPeriodID
memgrouppremiumoption,memGroupPremiumID,mmGrpPrmmptn_mmGrpPrmm1,memgrouppremium,memGroupPremiumID
memgrouppremiumoption,memGroupPremiumPeriodID,mmGrpPrmmptn_mmGrpPrmmPrd1,memgrouppremiumperiod,memGroupPremiumPeriodID
memgrouppremiumperentityrsvreq,memGroupPremiumID,mmGrpPrmmPrnttyRsvRq_mmGrpPrmm1,memgrouppremium,memGroupPremiumID
memgrouppremiumperentityrsvreq,memGroupPremiumOptionID,mmGrpPrmmPrnttyRsvRq_mmGrpPrmmptn1,memgrouppremiumoption,memGroupPremiumOptionID
memgrouppremiumperentityrsvreq,memGroupPremiumPeriodID,mmGrpPrmmPrnttyRsvRq_mmGrpPrmmPrd1,memgrouppremiumperiod,memGroupPremiumPeriodID
memgrouppremiumperiod,memGroupPremiumID,mmGrpPrmmPrd_mmGrpPrmm1,memgrouppremium,memGroupPremiumID
memgrouppremiumsubscriber,memGroupPremiumID,mmGrpPrmmSbscrbr_mmGrpPrmm1,memgrouppremium,memGroupPremiumID
memgrouppremiumsubscriber,memGroupPremiumOptionID,mmGrpPrmmSbscrbr_mmGrpPrmmptn1,memgrouppremiumoption,memGroupPremiumOptionID
memgrouppremiumsubscriber,memGroupPremiumPeriodID,mmGrpPrmmSbscrbr_mmGrpPrmmPrd1,memgrouppremiumperiod,memGroupPremiumPeriodID
memgrouppriorcarrier,memGroupID,mmGrpPrrCrrr_mmGrp1,memgroup,memGroupID
memgroupreportingcode,memGroupID,mmGrpRprtngCd_mmGrp1,memgroup,memGroupID
memgroupsettings,memGroupID,mmGrpSttngs_mmGrp1,memgroup,memGroupID
memgroupstmt,memGroupID,mmGrpStmt_mmGrp1,memgroup,memGroupID
memgroupstmtempstat,memGroupID,mmGrpStmtmpStt_mmGrp1,memgroup,memGroupID
memgroupsupportteam,memGroupID,mmGrpSpprtTm_mmGrp1,memgroup,memGroupID
memgroupsurcharge,memGroupID,mmGrpSrchrg_mmGrpSttngs1,memgroupsettings,memGroupID
memgroupsurcharge,memGroupSettingsID,mmGrpSrchrg_mmGrpSttngs1,memgroupsettings,memGroupSettingsID
memgrouptin,memGroupID,mmGrpTN_mmGrp1,memgroup,memGroupID
memgroupvalidation,memGroupID,mmGrpVldtn_mmGrp1,memgroup,memGroupID
mgctagmonitordetail,mgcTagMonitorHeaderID,mgcTgMntrDtl_mgcTgMntrHdr1,mgctagmonitorheader,mgcTagMonitorHeaderID
producercomptimestamp,memGroupID,prdcrCmpTmstmp_mmGrp1,memgroup,memGroupID
