"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
mbrinterventionpgmrvwdtl,mbrInterventionPgmRvwID,mbrntrvntnPgmRvwDtl_mbrntrvntnPgmRvw1,mbrinterventionpgmrvw,mbrInterventionPgmRvwID
memberactioneventsub,memberActionEventID,mmbrctnvntSb_mmbrctnvnt1,memberactionevent,memberActionEventID
memberactionprovattrib,memberActionEventID,mmbrctnPrvttrb_mmbrctnvnt1,memberactionevent,memberActionEventID
memberaddress,memberID,mmbrddrss_mmbr1,member,memberID
memberaddressattn,memberAddressID,mmbrddrssttn_mmbrddrss1,memberaddress,memberAddressID
memberaddressattn,memberID,mmbrddrssttn_mmbr1,member,memberID
memberaddressdiag,memberAddressID,mmbrddrssDg_mmbrddrss1,memberaddress,memberAddressID
memberaddressdiag,memberID,mmbrddrssDg_mmbr1,member,memberID
memberaddressprov,memberAddressID,mmbrddrssPrv_mmbrddrss1,memberaddress,memberAddressID
memberaddressprov,memberID,mmbrddrssPrv_mmbr1,member,memberID
memberaddresssubmitted,memberID,mmbrddrssSbmttd_mmbr1,member,memberID
memberbanking,memberID,mmbrBnkng_mmbr1,member,memberID
membercaserate,memberID,mmbrCsRt_mmbr1,member,memberID
membercob,memberID,mmbrCB_mmbr1,member,memberID
membercobrelentityaddress,memberCOBID,mmbrCBRlnttyddrss_mmbrCB1,membercob,memberCOBID
membercobrelentityaddress,memberID,mmbrCBRlnttyddrss_mmbrCB1,membercob,memberID
membercobrelentityelectcom,memberCOBID,mmbrCBRlnttylctCm_mmbrCB1,membercob,memberCOBID
membercobrelentityelectcom,memberID,mmbrCBRlnttylctCm_mmbrCB1,membercob,memberID
membercobrelentityphone,memberCOBID,mmbrCBRlnttyPhn_mmbrCB1,membercob,memberCOBID
membercobrelentityphone,memberID,mmbrCBRlnttyPhn_mmbrCB1,membercob,memberID
membercontact,memberID,mmbrCntct_mmbr1,member,memberID
membercontactaddress,memberContactID,mmbrCntctddrss_mmbrCntct1,membercontact,memberContactID
membercontactaddress,memberID,mmbrCntctddrss_mmbr1,member,memberID
membercontactelectcomm,memberContactID,mmbrCntctlctCmm_mmbrCntct1,membercontact,memberContactID
membercontactelectcomm,memberID,mmbrCntctlctCmm_mmbr1,member,memberID
membercontactlanguage,memberContactID,mmbrCntctLngg_mmbrCntct1,membercontact,memberContactID
membercontactlanguage,memberID,mmbrCntctLngg_mmbr1,member,memberID
membercontactphone,memberContactID,mmbrCntctPhn_mmbrCntct1,membercontact,memberContactID
membercontactphone,memberID,mmbrCntctPhn_mmbr1,member,memberID
membercustodial,memberID,mmbrCstdl_mmbr1,member,memberID
memberdepcert,memberID,mmbrDpCrt_mmbr1,member,memberID
memberdisability,memberID,mmbrDsblty_mmbr1,member,memberID
memberdisability,memberIndicatorID,mmbrDsblty_mmbrndctr1,memberindicator,memberIndicatorID
memberdisclosure,memberID,mmbrDsclsr_mmbr1,member,memberID
memberelectroniccomm,memberID,mmbrlctrncCmm_mmbr1,member,memberID
memberexternalid,memberID,mmbrxtrnlD_mmbr1,member,memberID
membergovernmentbenefit,memberID,mmbrGvrnmntBnft_mmbr1,member,memberID
memberimage,memberID,mmbrmg_mmbr1,member,memberID
memberincent,memberID,mmbrncnt_mmbr1,member,memberID
memberindicator,memberID,mmbrndctr_mmbr1,member,memberID
memberinstitution,memberID,mmbrnstttn_mmbr1,member,memberID
memberinstitution,memberIndicatorID,mmbrnstttn_mmbrndctr1,memberindicator,memberIndicatorID
memberinvaccident,memberID,mmbrnvccdnt_mmbrnvstgtn1,memberinvestigation,memberID
memberinvaccident,memberInvestigationID,mmbrnvccdnt_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
memberinvdates,memberID,mmbrnvDts_mmbrnvstgtn1,memberinvestigation,memberID
memberinvdates,memberInvestigationID,mmbrnvDts_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
memberinvdiagnosis,memberID,mmbrnvDgnss_mmbrnvstgtn1,memberinvestigation,memberID
memberinvdiagnosis,memberInvestigationID,mmbrnvDgnss_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
memberinvestigation,memberID,mmbrnvstgtn_mmbr1,member,memberID
memberinvnote,memberID,mmbrnvNt_mmbrnvstgtn1,memberinvestigation,memberID
memberinvnote,memberInvestigationID,mmbrnvNt_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
memberinvprovider,memberID,mmbrnvPrvdr_mmbrnvstgtn1,memberinvestigation,memberID
memberinvprovider,memberInvestigationID,mmbrnvPrvdr_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
